[785, 'Truck']
[139, 'Car']
[75, 'Car']
[680, 'Car']
[338, 'Car']
[285, 'Car']
[747, 'Car']
[388, 'Car']
[595, 'Van']
[62, 'Car']
[820, 'Car']
[341, 'Car']
[860, 'Car']
[288, 'Van']
[151, 'Car']
[100, 'Car']
[597, 'Car']
[643, 'Car']
[16, 'Car']
[736, 'Van']
[275, 'Car']
[535, 'Van']
[338, 'Car']
[440, 'Car']
[197, 'Car']
[365, 'Car']
[377, 'Car']
[62, 'Car']
[413, 'Car']
[459, 'Car']
[248, 'Car']
[42, 'Car']
[665, 'Car']
[216, 'Car']
[1076, 'Van']
[1719, 'Car']
[914, 'Car']
[1520, 'Van']
[1617, 'Car']
[1213, 'Car']
[1644, 'Car']
[1214, 'Car']
[1706, 'Van']
[1129, 'Van']
[1614, 'Van']
[971, 'Car']
[1724, 'Car']
[1675, 'Car']
[1550, 'Car']
[1060, 'Van']
[1452, 'Car']
[1552, 'Van']
[1477, 'Car']
[1212, 'Car']
[1361, 'Car']
[1381, 'Bus']
[1001, 'Car']
[1605, 'Car']
[1154, 'Van']
[1477, 'Car']
[1300, 'Car']
[1771, 'Car']
[1059, 'Car']
[1284, 'Car']
[1376, 'Van']
[1771, 'Truck']
[1415, 'Motorbike']
[1454, 'Motorbike']
[1907, 'Van']
[2367, 'Car']
[2482, 'Car']
[1929, 'Car']
[2097, 'Car']
[2540, 'Car']
[2007, 'Car']
[1969, 'Van']
[2595, 'Car']
[2060, 'Car']
[2159, 'Car']
[1831, 'Car']
[2251, 'Car']
[2087, 'Car']
[2105, 'Car']
[2018, 'Car']
[2641, 'Car']
[2216, 'Car']
[2507, 'Car']
[2440, 'Car']
[1853, 'Car']
[2472, 'Car']
[2268, 'Van']
[2517, 'Car']
[2240, 'Van']
[2155, 'Truck']
[2301, 'Car']
[2305, 'Van']
[2157, 'Car']
[2554, 'Car']
[2661, 'Car']
[2685, 'Truck']
[3361, 'Car']
[3423, 'Car']
[3110, 'Car']
[3198, 'Car']
[3420, 'Truck']
[3264, 'Car']
[3340, 'Car']
[3512, 'Car']
[2761, 'Van']
[2914, 'Car']
[2944, 'Truck']
[3103, 'Car']
[2994, 'Truck']
[2843, 'Car']
[3515, 'Van']
[3245, 'Car']
[3341, 'Car']
[3182, 'Car']
[3215, 'Car']
[3278, 'Car']
[2798, 'Car']
[3564, 'Car']
[3164, 'Car']
[3058, 'Car']
[3462, 'Truck']
[3572, 'Car']
[2968, 'Car']
[3193, 'Car']
[2876, 'Motorbike']
[3304, 'Car']
[4240, 'Car']
[3677, 'Van']
[4444, 'Car']
[4034, 'Car']
[4435, 'Truck']
[4160, 'Truck']
[3665, 'Car']
[4436, 'Bus']
[4251, 'Car']
[3911, 'Car']
[4055, 'Bus']
[4305, 'Car']
[4341, 'Car']
[4288, 'Car']
[4227, 'Car']
[3969, 'Car']
[4318, 'Car']
[3747, 'Car']
[4364, 'Car']
[3954, 'Car']
[4207, 'Car']
[4165, 'Car']
[4239, 'Car']
[3633, 'Car']
[4261, 'Car']
[3921, 'Van']
[3888, 'Van']
[4270, 'Car']
[3922, 'Car']
[4117, 'Car']
[4190, 'Car']
[3641, 'Car']
[4169, 'Car']
[4135, 'Car']
[4800, 'Car']
[5249, 'Truck']
[4533, 'Car']
[5107, 'Van']
[5176, 'Car']
[4895, 'Car']
[4962, 'Car']
[4614, 'Car']
[5118, 'Car']
[5235, 'Car']
[4740, 'Car']
[5323, 'Truck']
[4885, 'Car']
[5059, 'Car']
[4846, 'Van']
[5334, 'Van']
[4939, 'Car']
[5013, 'Car']
[5081, 'Car']
[5002, 'Car']
[4721, 'Van']
[4812, 'Car']
[4658, 'Van']
[5117, 'Car']
[5082, 'Car']
[4811, 'Car']
[5179, 'Car']
[4750, 'Car']
[4505, 'Car']
[4763, 'Motorbike']
[4921, 'Van']
[4796, 'Car']
[4620, 'Car']
[4828, 'Car']
[4669, 'Car']
[5945, 'Car']
[5614, 'Car']
[6049, 'Car']
[5460, 'Car']
[5426, 'Car']
[5822, 'Car']
[5853, 'Van']
[6247, 'Car']
[5571, 'Car']
[5694, 'Car']
[5705, 'Car']
[6150, 'Van']
[5466, 'Car']
[5499, 'Car']
[5401, 'Car']
[5741, 'Car']
[5947, 'Car']
[5768, 'Van']
[5676, 'Car']
[5996, 'Car']
[5907, 'Car']
[6046, 'Van']
[6076, 'Car']
[6105, 'Car']
[5995, 'Car']
[6188, 'Car']
[5944, 'Car']
[5524, 'Car']
[6263, 'Car']
[5939, 'Car']
[6033, 'Car']
[5631, 'Car']
[5852, 'Truck']
[5402, 'Car']
[6176, 'Car']
[5631, 'Car']
[5567, 'Car']
[5904, 'Car']
[6223, 'Car']
[6609, 'Car']
[6853, 'Car']
[6759, 'Car']
[6912, 'Pickup']
[6678, 'Van']
[6977, 'Car']
[6485, 'Car']
[7033, 'Car']
[6743, 'Van']
[6590, 'Car']
[6332, 'Car']
[6388, 'Car']
[7116, 'Car']
[6357, 'Van']
[6839, 'Car']
[6484, 'Van']
[6313, 'Van']
[6438, 'Car']
[6578, 'Car']
[6534, 'Car']
[6300, 'Van']
[6370, 'Van']
[6892, 'Truck']
[6488, 'Van']
[6415, 'Car']
[6954, 'Van']
[6450, 'Car']
[7049, 'Car']
[7125, 'Car']
[7626, 'Car']
[7928, 'Car']
[7337, 'Car']
[7733, 'Car']
[8006, 'Car']
[7633, 'Car']
[7371, 'Car']
[7916, 'Car']
[7434, 'Car']
[7662, 'Car']
[7712, 'Van']
[7941, 'Car']
[7601, 'Car']
[7876, 'Car']
[8005, 'Van']
[7292, 'Bus']
[7756, 'Van']
[7777, 'Car']
[7376, 'Car']
[7835, 'Van']
[7440, 'Van']
[7607, 'Car']
[8023, 'Car']
[7552, 'Car']
[7648, 'Car']
[7576, 'Car']
[8067, 'Car']
[8064, 'Car']
[7424, 'Car']
[7514, 'Car']
[7925, 'Car']
[7278, 'Car']
[7341, 'Car']
[7904, 'Car']
[7962, 'Car']
[7259, 'Car']
[7200, 'Car']
[8776, 'Car']
[8576, 'Car']
[8889, 'Car']
[8400, 'Car']
[8687, 'Car']
[8641, 'Car']
[8781, 'Car']
[8509, 'Car']
[8191, 'Car']
[8454, 'Car']
[8248, 'Car']
[8616, 'Car']
[8388, 'Car']
[8149, 'Van']
[8425, 'Car']
[8656, 'Car']
[8661, 'Car']
[8506, 'Car']
[8245, 'Car']
[8273, 'Van']
[8100, 'Car']
[8560, 'Car']
[8469, 'Car']
[8873, 'Van']
[8361, 'Truck']
[8330, 'Van']
[8501, 'Car']
[8816, 'Truck']
[8955, 'Car']
[8912, 'Car']
[8545, 'Car']
[8184, 'Truck']
[8460, 'Car']
[8211, 'Car']
[8796, 'Van']


[4, 265, 4, 1, 17, 54, 0]
Total:  345
pulo:  [900, 1800, 2700, 5400, 6300]


  
  
  
  
  
  
