[507, 'Car']
[877, 'Car']
[778, 'Car']
[843, 'Car']
[1761, 'Car']
[1635, 'Car']
[1522, 'Car']
[1081, 'Car']
[1405, 'Car']
[1470, 'Car']
[1121, 'Car']
[1614, 'Car']
[1263, 'Car']
[1500, 'Car']
[1429, 'Car']
[961, 'Car']
[1134, 'Car']
[957, 'Car']
[1706, 'Car']
[1348, 'Car']
[1068, 'Car']
[1545, 'Car']
[1202, 'Car']
[1176, 'Car']
[1422, 'Car']
[1717, 'Car']
[1043, 'Car']
[1503, 'Car']
[1451, 'Car']
[1210, 'Car']
[1229, 'Car']
[1319, 'Car']
[921, 'Car']
[1686, 'Car']
[1234, 'Van']
[1157, 'Car']
[1014, 'Car']
[917, 'Car']
[1829, 'Bus']
[1956, 'Car']
[1978, 'Truck']
[1941, 'Car']
[2224, 'Truck']
[2677, 'Car']
[2516, 'Car']
[1809, 'Car']
[2089, 'Car']
[2584, 'Car']
[3358, 'Bus']
[3113, 'Car']
[2744, 'Car']
[3034, 'Car']
[3144, 'Car']
[2756, 'Car']
[3218, 'Car']
[2725, 'Car']
[4103, 'Car']
[3667, 'Van']
[4179, 'Car']
[4258, 'Van']
[4131, 'Car']
[3863, '?']
[4305, '?']
[3662, 'Bus']
[5249, 'Car']
[5005, 'Car']
[4973, 'Car']
[5298, 'Car']
[4735, 'Car']
[4656, 'Car']
[4872, 'Car']
[4957, 'Car']
[4780, 'Car']
[4770, 'Car']
[5228, 'Car']
[5058, 'Car']
[5114, 'Car']
[4937, 'Car']
[4844, 'Car']
[4623, 'Car']
[5243, 'Car']
[5118, 'Car']
[4700, 'Car']
[5190, 'Car']
[5372, 'Car']
[4506, 'Car']
[4508, 'Car']
[5033, 'Car']
[4548, 'Car']
[4646, 'Car']
[4521, 'Car']
[5075, 'Car']
[4725, 'Car']
[4772, 'Car']
[5098, 'Car']
[5190, 'Car']
[4582, 'Car']
[5413, 'Truck']
[5459, 'Bus']
[5623, 'Car']
[5526, 'Car']
[6195, 'Car']
[6095, 'Car']
[6162, 'Car']
[6274, 'Car']
[6031, 'Car']
[6175, 'Car']
[6267, 'Car']
[6600, 'Car']
[7401, '?']
[7731, 'Car']
[7981, 'Van']
[7796, 'Car']
[7939, 'Car']
[8039, 'Car']
[7593, 'Car']
[7862, 'Car']
[7491, 'Motorbike']
[8193, 'Car']
[8952, 'Bus']
[8642, 'Car']
[8786, 'Car']
[8862, 'Car']
[8674, 'Car']
[8627, 'Car']
[8588, 'Car']
[8989, 'Car']
[8280, 'Car']
[8961, 'Car']
[8779, 'Car']
[8445, 'Car']
[8270, 'Car']
[8906, 'Car']
[8380, 'Car']
[8726, 'Car']
[8478, 'Car']
[8473, 'Car']
[8331, 'Car']
[8121, 'Car']
[8869, 'Van']
[8183, 'Car']
[8297, 'Car']
[8549, 'Car']
[8328, 'Car']
[8476, 'Car']
[8929, 'Motorbike']
[8570, 'Car']
[8357, 'Car']
[8246, 'Car']
[8167, 'Car']
[9252, 'Truck']
[9045, 'Car']
[9668, 'Car']
[9728, 'Car']
[9114, 'Car']
[9890, 'Car']
[9035, 'Car']
[9156, 'Truck']
[9602, 'Car']
[9849, 'Car']
[10216, 'Car']
[10005, 'Car']
[10258, 'Car']
[10238, 'Car']
[9909, 'Car']
[11689, 'Car']
[12147, 'Car']
[12440, 'Car']
[12477, 'Car']
[12558, 'Car']
[12002, 'Car']
[12060, 'Car']
[12258, 'Car']
[11885, 'Car']
[12300, 'Car']
[11981, 'Car']
[12099, 'Car']
[11819, 'Car']
[11759, 'Car']
[12174, 'Car']
[11944, 'Car']
[12439, 'Car']
[11914, 'Car']
[11852, 'Car']
[11819, 'Car']
[12241, 'Van']
[11949, 'Car']
[12063, 'Car']
[11848, 'Car']
[12211, 'Car']
[12360, 'Car']
[12007, 'Car']
[12378, 'Car']
[11747, 'Car']
[12019, 'Car']
[12147, 'Car']
[12344, 'Car']
[12246, 'Car']
[12196, 'Car']
[12101, 'Car']
[12594, 'Car']
[12710, 'Car']
[12646, 'Car']
[13394, 'Car']
[13137, 'Car']
[13221, 'Car']
[13268, 'Car']
[13474, 'Car']
[12752, 'Car']
[13390, 'Car']
[13066, 'Car']
[12845, 'Car']
[13467, 'Car']
[13590, 'Car']
[13530, 'Car']
[13572, 'Car']
[13532, 'Car']
[14989, 'Car']
[15147, 'Van']
[14822, 'Car']
[14492, 'Car']
[14989, 'Car']
[14777, 'Car']
[14565, 'Car']
[15872, 'Car']
[15679, 'Car']
[15811, 'Car']
[16066, 'Car']
[16000, 'Car']
[16047, 'Car']
[15346, 'Car']
[15411, 'Car']
[15735, 'Car']
[15951, 'Car']
[15457, 'Truck']
[16129, 'Car']
[15583, 'Car']
[15614, 'Car']
[15754, 'Car']
[15548, 'Car']
[15506, 'Car']
[15820, 'Car']
[16129, 'Car']
[15307, 'Car']
[15486, 'Motorbike']
[15587, 'Car']
[15375, '?']
[15433, 'Car']
[15610, 'Car']
[16097, 'Car']
[15925, 'Car']
[15512, 'Motorbike']
[15574, 'Car']
[15781, 'Car']
[16150, 'Car']
[15363, 'Motorbike']
[16486, 'Car']
[16416, 'Truck']
[16295, 'Car']
[16929, 'Truck']
[16707, 'Car']
[16536, 'Car']
[16658, 'Car']
[16448, 'Car']
[16780, 'Truck']
[16705, 'Car']
[16546, 'Car']
[16996, 'Car']
[16800, 'Car']
[16240, 'Car']
[17012, 'Car']
[16594, 'Car']
[16379, 'Car']
[16630, 'Van']
[16219, 'Car']
[16548, 'Van']
[16388, 'Car']
[17048, 'Car']
[16622, 'Car']
[16504, 'Car']
[16858, 'Car']
[17901, 'Car']
[17718, 'Car']
[17508, 'Car']
[17912, 'Car']
[17943, 'Car']
[17988, 'Car']
[17270, 'Car']
[17667, 'Car']
[17611, 'Car']
[17245, 'Car']
[17181, 'Car']
[17119, 'Car']
[17579, '?']
[17165, 'Car']
[18830, 'Bus']
[18539, 'Car']
[18428, 'Car']
[18604, 'Car']
[18703, 'Car']
[18364, 'Car']
[18598, 'Car']
[18758, 'Car']
[18271, 'Car']
[18876, 'Car']
[18945, 'Car']
[19743, 'Car']
[19759, 'Car']
[19186, 'Car']
